City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lumberton,34.6182,-79.0086,292.32,94,100,0.0,US,1685424040
84,lugulu,0.3936,34.3053,291.3,86,48,2.01,KE,1685424040
85,neiafu,-18.65,-173.9833,299.53,89,20,3.09,TO,1685424041
86,menongue,-14.6585,17.691,285.53,62,30,1.03,AO,1685424041
87,kindu,-2.95,25.95,294.15,99,29,0.75,CD,1685424042
88,tarko-sale,64.9225,77.785,292.18,35,100,7.69,RU,1685424042
89,island harbour,50.724,-1.2758,283.67,84,24,4.02,GB,1685424043
90,carnarvon,-24.8667,113.6333,298.85,34,19,1.01,AU,1685424043
91,bredasdorp,-34.5322,20.0403,285.71,91,34,2.34,ZA,1685424044
92,kamiiso,41.8167,140.65,290.36,59,75,2.57,JP,1685424044
93,teknaf,20.8624,92.3058,306.42,55,45,4.1,BD,1685424044
94,east london,-33.0153,27.9116,291.67,82,0,5.14,ZA,1685424045
95,kavalerovo,44.2661,135.0572,290.78,37,66,5.85,RU,1685424045
96,severo-yeniseyskiy,60.3725,93.0408,292.0,30,5,3.32,RU,1685424046
97,melito di porto salvo,37.9222,15.7714,295.23,68,25,1.54,IT,1685424046
98,whitehorse,60.7161,-135.0538,282.21,34,40,4.92,CA,1685424008
99,kassala,15.451,36.4,299.1,56,88,1.16,SD,1685424047
100,hermanus,-34.4187,19.2345,283.6,81,78,2.68,ZA,1685424047
101,magadan,59.5667,150.8,291.78,58,84,10.14,RU,1685424048
102,tolanaro,-25.0319,46.9987,295.19,78,40,2.57,MG,1685424048
103,atafu village,-8.5421,-172.5159,302.19,72,100,5.95,TK,1685424048
104,bilibino,68.0546,166.4372,282.88,48,81,8.23,RU,1685424049
105,kirensk,57.7853,108.1119,291.83,30,71,4.04,RU,1685424049
106,codrington,-38.2667,141.9667,290.07,78,98,6.19,AU,1685424049
107,isafjordur,66.0755,-23.124,280.16,88,98,7.58,IS,1685424017
108,port elizabeth,-33.918,25.5701,290.43,97,20,3.09,ZA,1685424050
109,alvear,-29.0968,-56.5504,283.3,87,100,3.36,AR,1685424051
110,port lincoln,-34.7333,135.8667,291.45,71,67,7.78,AU,1685424051
111,lebyazh'ye,55.2689,66.4947,298.35,48,12,5.33,RU,1685424051
112,wotho,10.1657,166.0102,300.77,79,100,6.08,MH,1685424052
113,port mathurin,-19.6833,63.4167,298.03,68,3,8.0,MU,1685424052
114,wailua homesteads,22.0669,-159.378,298.39,82,40,6.69,US,1685424053
115,avarua,-21.2078,-159.775,296.18,73,75,4.12,CK,1685424053
116,waldfischbach-burgalben,49.2833,7.6667,286.62,69,0,2.06,DE,1685424053
117,morant bay,17.8815,-76.4093,301.94,87,75,1.69,JM,1685424054
118,ulladulla,-35.35,150.4667,290.24,48,48,1.49,AU,1685424055
119,port alfred,-33.5906,26.891,290.47,92,99,0.45,ZA,1685424055
120,georgetown,5.4112,100.3354,307.12,61,20,3.09,MY,1685424055
121,hakha,22.65,93.6167,302.99,31,17,0.87,MM,1685424056
122,invercargill,-46.4,168.35,281.29,87,93,5.25,NZ,1685424056
123,okahandja,-21.9833,16.9167,277.78,66,0,0.5,NA,1685424056
124,coquimbo,-29.9533,-71.3436,287.0,88,100,1.54,CL,1685424057
125,anadyr,64.75,177.4833,279.43,52,75,12.0,RU,1685424057
126,secunda,-26.55,29.1667,282.22,96,100,1.84,ZA,1685424058
127,peruibe,-24.32,-46.9983,291.53,90,100,2.26,BR,1685424058
128,edinburgh of the seven seas,-37.0676,-12.3116,290.81,86,100,16.66,SH,1685424058
129,greymouth,-42.4667,171.2,285.57,92,100,7.9,NZ,1685424059
130,black point,-34.6187,137.8972,290.49,75,66,6.6,AU,1685424059
131,thames,-37.1333,175.5333,287.51,94,83,1.79,NZ,1685424060
132,daru,-9.0763,143.2092,299.5,86,78,6.96,PG,1685424060
133,kodiak,57.79,-152.4072,281.88,76,75,2.57,US,1685424050
134,uturoa,-16.7333,-151.4333,299.8,80,1,1.82,PF,1685424061
135,suntar,62.1444,117.6319,292.69,30,5,0.83,RU,1685424061
136,papao,-17.75,-149.55,299.97,76,18,1.12,PF,1685424062
137,broome,42.2506,-75.833,291.58,62,79,2.68,US,1685424062
138,ciudad sabinas hidalgo,26.5,-100.1667,296.05,78,13,1.94,MX,1685424062
139,minas de marcona,-15.2119,-75.1103,286.69,88,58,5.42,PE,1685424063
140,thompson,55.7435,-97.8558,289.24,94,75,0.0,CA,1685424063
141,chester,40.1254,-75.8749,287.91,65,25,0.89,US,1685424064
142,conduaga,8.862,117.4893,304.06,64,94,5.6,PH,1685424064
